Category,Oct-Dec 2023,Jan-Mar 2024,Apr-Jun 2024,Jul-Sep 2024,Oct-Dec 2024,Qtr-to-qtr change,Year-on-year change,Qtr-to-qtr change.1,Year-on-year change.1
Both sexes,16723,16745,16652,16946,17078,132,355,0.8,2.1
Working less than 15 hours per week,461,495,496,562,509,-53,48,-9.5,10.4
Working 15–29 hours per week,1114,1139,1151,1196,1256,60,142,5.0,12.8
Working 30–39 hours per week,1208,1166,1235,1242,1230,-13,22,-1.0,1.8
Working 40–45 hours per week,9238,9271,9348,9451,9554,103,316,1.1,3.4
Working more than 45 hours per week,4702,4673,4422,4495,4529,35,-173,0.8,-3.7
Women,7429,7476,7448,7545,7636,91,206,1.2,2.8
Working less than 15 hours per week,235,256,252,292,260,-32,25,-11.0,10.7
Working 15–29 hours per week,708,699,710,726,782,56,73,7.7,10.4
Working 30–39 hours per week,678,657,702,725,684,-41,6,-5.6,0.9
Working 40–45 hours per week,4249,4276,4253,4270,4386,116,137,2.7,3.2
Working more than 45 hours per week,1558,1588,1532,1532,1523,-8,-35,-0.5,-2.2
Men,9294,9269,9204,9402,9442,41,148,0.4,1.6
Working less than 15 hours per week,226,240,244,270,249,-21,23,-7.8,10.2
Working 15–29 hours per week,405,440,442,470,474,4,69,0.9,16.9
Working 30–39 hours per week,530,509,533,517,546,28,16,5.4,3.0
Working 40–45 hours per week,4989,4995,5095,5182,5168,-14,179,-0.3,3.6
Working more than 45 hours per week,3144,3086,2890,2963,3006,43,-138,1.4,-4.4
