Category,Oct-Dec 2023,Jan-Mar 2024,Apr-Jun 2024,Jul-Sep 2024,Oct-Dec 2024,Qtr-to-qtr change,Year-on-year change,Qtr-to-qtr change.1,Year-on-year change.1
Both sexes,"16,723","16,745","16,652","16,946","17,078",132,355,0.8,2.1
Employee,"14,084","14,106","13,919","14,013","14,087",74,4,0.5,0.0
Employer,860,829,859,918,966,48,106,5.2,12.3
Own-account worker,"1,687","1,712","1,777","1,907","1,932",25,245,1.3,14.5
Unpaid household member,92,98,97,108,92,-15,0,-14.3,0.2
Women,"7,429","7,476","7,448","7,545","7,636",91,206,1.2,2.8
Employee,"6,438","6,472","6,410","6,424","6,516",92,79,1.4,1.2
Employer,216,222,222,218,245,27,29,12.3,13.7
Own-account worker,725,734,764,841,824,-16,99,-1.9,13.7
Unpaid household member,51,47,52,62,50,-12,-1,-19.8,-2.6
Men,"9,294","9,269","9,204","9,402","9,442",41,148,0.4,1.6
Employee,"7,646","7,634","7,509","7,589","7,571",-18,-75,-0.2,-1.0
Employer,644,607,637,700,721,21,76,3.0,11.8
Own-account worker,962,978,"1,013","1,067","1,108",41,146,3.9,15.1
Unpaid household member,41,51,45,46,43,-3,2,-7.0,3.7
