Category,Oct-Dec 2023,Jan-Mar 2024,Apr-Jun 2024,Jul-Sep 2024,Oct-Dec 2024,Qtr-to-qtr change,Year-on-year change,Qtr-to-qtr change.1,Year-on-year change.1
Both sexes,678.0,722.0,677.0,783.0,788.0,5.0,110.0,0.6,16.3
Women,386.0,387.0,378.0,434.0,409.0,-25.0,23.0,-5.7,6.0
Men,292.0,334.0,299.0,349.0,379.0,29.0,87.0,8.4,29.9
As percentage of the labour force (both sexes),2.8,2.9,2.7,3.1,3.1,0.0,0.3,,
Women,3.4,3.4,3.3,3.8,3.5,-0.3,0.1,,
Men,2.2,2.5,2.2,2.6,2.8,0.2,0.6,,
As percentage of total employment (both sexes),4.1,4.3,4.1,4.6,4.6,0.0,0.5,,
Women,5.2,5.2,5.1,5.8,5.4,-0.4,0.2,,
Men,3.1,3.6,3.3,3.7,4.0,0.3,0.9,,
Industry,678.0,722.0,677.0,783.0,788.0,5.0,110.0,0.6,16.3
Agriculture,14.0,24.0,17.0,20.0,27.0,7.0,12.0,33.2,87.3
Mining,1.0,,,1.0,,,,,
Manufacturing,20.0,38.0,27.0,41.0,43.0,2.0,23.0,3.9,114.2
Utilities,,,1.0,3.0,,,,,
Construction,74.0,73.0,59.0,83.0,91.0,8.0,16.0,9.2,22.1
Trade,133.0,128.0,119.0,136.0,104.0,-33.0,-29.0,-23.9,-21.9
Transport,9.0,23.0,21.0,27.0,25.0,-1.0,17.0,-3.8,185.9
Finance,67.0,60.0,61.0,72.0,89.0,17.0,22.0,23.7,32.5
Community and social services,164.0,187.0,179.0,199.0,210.0,11.0,47.0,5.8,28.4
Private households,195.0,187.0,194.0,201.0,200.0,-2.0,5.0,-0.8,2.3
Occupation,678.0,722.0,677.0,783.0,788.0,5.0,110.0,0.6,16.3
Manager,15.0,15.0,13.0,22.0,25.0,3.0,10.0,12.2,63.9
Professional,11.0,15.0,7.0,9.0,9.0,-1.0,-2.0,-6.0,-19.9
Technician,25.0,26.0,26.0,30.0,39.0,8.0,14.0,26.5,55.3
Clerk,18.0,19.0,17.0,27.0,22.0,-4.0,5.0,-16.6,26.6
Sales and services,91.0,98.0,73.0,103.0,87.0,-16.0,-4.0,-15.4,-4.3
Skilled agriculture,3.0,3.0,7.0,5.0,7.0,3.0,4.0,59.5,133.5
Craft and related trade,72.0,81.0,80.0,89.0,115.0,26.0,42.0,29.2,58.2
Plant and machine operator,8.0,26.0,26.0,23.0,21.0,-2.0,13.0,-10.3,173.0
Elementary,291.0,313.0,287.0,329.0,324.0,-5.0,34.0,-1.6,11.6
Domestic worker,144.0,126.0,140.0,145.0,139.0,-6.0,-5.0,-4.1,-3.3
